"","districts_included","cluster","map","value","ordered_districts"
"136",18,"Franklin-Wade","wins_pred_2018",0.517,"18"
"137",26,"Alamance-Guilford-Randolph","wins_pred_2018",0.636,"26"
"138",27,"Alamance-Guilford-Randolph","wins_pred_2018",0.517,"27"
"139",31,"Davie-Forsyth","wins_pred_2018",0.625,"31"
"140",32,"Davie-Forsyth","wins_pred_2018",0.714,"32"
"141",37,"Mecklenburg","wins_pred_2018",0.78,"37"
"142",38,"Mecklenburg","wins_pred_2018",0.788,"38"
"143",39,"Mecklenburg","wins_pred_2018",0.51,"39"
"144",40,"Mecklenburg","wins_pred_2018",0.742,"40"
"145",41,"Mecklenburg","wins_pred_2018",0.517,"41"
"146",48,"Buncombe-Henderson-Transylvania","wins_pred_2018",0.595,"48"
"147",49,"Buncombe-Henderson-Transylvania","wins_pred_2018",0.602,"49"
"148",8,"Bladen-Brunswick-New Hanover-Pender","D_voteshare_pred_2018",0.39,"8"
"149",9,"Bladen-Brunswick-New Hanover-Pender","D_voteshare_pred_2018",0.478,"9"
"150",10,"Duplin-Harnett-Johnston-Lee-Nash-Sampson","D_voteshare_pred_2018",0.396,"10"
"151",11,"Duplin-Harnett-Johnston-Lee-Nash-Sampson","D_voteshare_pred_2018",0.433,"11"
"152",12,"Duplin-Harnett-Johnston-Lee-Nash-Sampson","D_voteshare_pred_2018",0.398,"12"
"153",14,"Franklin-Wade","D_voteshare_pred_2018",0.701,"14"
"154",15,"Franklin-Wade","D_voteshare_pred_2018",0.711,"15"
"155",16,"Franklin-Wade","D_voteshare_pred_2018",0.637,"16"
"156",17,"Franklin-Wade","D_voteshare_pred_2018",0.488,"17"
"157",18,"Franklin-Wade","D_voteshare_pred_2018",0.483,"18"
"158",26,"Alamance-Guilford-Randolph","D_voteshare_pred_2018",0.364,"26"
"159",27,"Alamance-Guilford-Randolph","D_voteshare_pred_2018",0.483,"27"
"160",31,"Davie-Forsyth","D_voteshare_pred_2018",0.375,"31"
"161",32,"Davie-Forsyth","D_voteshare_pred_2018",0.714,"32"
"162",37,"Mecklenburg","D_voteshare_pred_2018",0.78,"37"
"163",38,"Mecklenburg","D_voteshare_pred_2018",0.788,"38"
"164",39,"Mecklenburg","D_voteshare_pred_2018",0.49,"39"
"165",40,"Mecklenburg","D_voteshare_pred_2018",0.742,"40"
"166",41,"Mecklenburg","D_voteshare_pred_2018",0.517,"41"
"167",48,"Buncombe-Henderson-Transylvania","D_voteshare_pred_2018",0.405,"48"
"168",49,"Buncombe-Henderson-Transylvania","D_voteshare_pred_2018",0.602,"49"
"169",8,"Bladen-Brunswick-New Hanover-Pender","R_voteshare_pred_2018",0.61,"8"
"170",9,"Bladen-Brunswick-New Hanover-Pender","R_voteshare_pred_2018",0.522,"9"
"171",10,"Duplin-Harnett-Johnston-Lee-Nash-Sampson","R_voteshare_pred_2018",0.604,"10"
"172",11,"Duplin-Harnett-Johnston-Lee-Nash-Sampson","R_voteshare_pred_2018",0.567,"11"
"173",12,"Duplin-Harnett-Johnston-Lee-Nash-Sampson","R_voteshare_pred_2018",0.602,"12"
"174",14,"Franklin-Wade","R_voteshare_pred_2018",0.299,"14"
"175",15,"Franklin-Wade","R_voteshare_pred_2018",0.289,"15"
"176",16,"Franklin-Wade","R_voteshare_pred_2018",0.363,"16"
"177",17,"Franklin-Wade","R_voteshare_pred_2018",0.512,"17"
"178",18,"Franklin-Wade","R_voteshare_pred_2018",0.517,"18"
"179",26,"Alamance-Guilford-Randolph","R_voteshare_pred_2018",0.636,"26"
"180",27,"Alamance-Guilford-Randolph","R_voteshare_pred_2018",0.517,"27"
"181",31,"Davie-Forsyth","R_voteshare_pred_2018",0.625,"31"
"182",32,"Davie-Forsyth","R_voteshare_pred_2018",0.286,"32"
"183",37,"Mecklenburg","R_voteshare_pred_2018",0.22,"37"
"184",38,"Mecklenburg","R_voteshare_pred_2018",0.212,"38"
"185",39,"Mecklenburg","R_voteshare_pred_2018",0.51,"39"
"186",40,"Mecklenburg","R_voteshare_pred_2018",0.258,"40"
"187",41,"Mecklenburg","R_voteshare_pred_2018",0.483,"41"
"188",48,"Buncombe-Henderson-Transylvania","R_voteshare_pred_2018",0.595,"48"
"189",49,"Buncombe-Henderson-Transylvania","R_voteshare_pred_2018",0.398,"49"
